customer_tweet_id,customer_text,brand_response,suggested_intent,suggested_confidence,suggested_auto_or_escalate,suggested_escalation_reason,intent,auto_or_escalate,escalation_reason,human_notes
2505056,"@AppleSupport If I've played any video at all, or received audio from a different source, the media buttons don't re-connect to iTunes/Spotify. They try and control whatever was playing last, even if the tab was closed. (YouTube, Facebook, Twitter, etc.)",@714349  Please DM us so that we can look into this together. https://t.co/GDrqU22YpT,app_service,0.512,ESCALATE,Low intent confidence,app_service,AUTO-HANDLE,Routine troubleshooting,
2358653,"@AppleSupport Ah, sorry! I thought this was the German account. My calculator doesn’t work properly. I have to type really slow, otherwise wrong results are calculated. Will this be regarded with the next update?",@681220 No problem at all! Let's move to DM for a closer look. What is your current exact iOS version? https://t.co/GDrqU22YpT,ios_update,0.403,ESCALATE,Low intent confidence,account_access,ESCALATE,Billing or account issue requires human review,
2852306,@AppleSupport help! My iPhone won’t turn on 😭,@793021 We're here for you. We'd like to start off with which model iPhone you're using and anything else you can tell us about what happened before you discovered it would not power on. Thanks!,app_service,0.475,ESCALATE,Low intent confidence,app_service,AUTO-HANDLE,Routine troubleshooting,
1589894,Dear @115858. Text replacements synced in iCloud please. Setting these up every time I get a new device is a pain in the ass.,@488854 We always welcome feedback from our customers. Feel free to submit your suggestion to us here: https://t.co/eTPVYVFyd8,account_access,0.773,ESCALATE,Account-access issue requires human review,account_access,ESCALATE,Billing or account issue requires human review,
257786,"@AppleSupport Can’t purchase/download apps, says I’m unsubscribed from Apple Music, multiple devices/networks on High Sierra/iOS 11",@34743 We want to help. Are you getting an error message when attempting to download apps?,billing_subscription,0.664,ESCALATE,Billing or subscription issue requires human review,billing_subscription,ESCALATE,Billing or account issue requires human review,
1592807,"@AppleSupport @118936 #ayuda!  Mi papá quiere recuperar ID Apple y no podemos!!
Creo que registró otro correo que él ya olvidó 🙏🏽",@489560 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,app_service,0.496,ESCALATE,Low intent confidence,app_service,AUTO-HANDLE,Routine troubleshooting,
2021904,@AppleSupport what is this? https://t.co/0yo1STFf6j,@597973 Thanks for reaching out. We have a workaround for this here: https://t.co/xXaXeeSRt9 DM us if you still need help. https://t.co/GDrqU22YpT,app_service,0.939,AUTO-HANDLE,Routine troubleshooting with sufficient evidence,app_service,AUTO-HANDLE,Routine troubleshooting,
2143942,LOOK @115858 YALL ARE ABOUT TO PISS ME OFF WITH MY I️’s GLITCHING. FIX IT.,@630344 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,device_performance,0.588,ESCALATE,Low intent confidence,device_performance,AUTO-HANDLE,Routine troubleshooting,
2502044,@AppleSupport my texts are delivering? What gives? #iPhoneXisOutandMyPhonestoppedworking #ImOntoYouApple,@713679 We know how important your messages are and want to make sure you can send without issue. Are only iMessages (blue) or SMS (green) affected?,app_service,0.634,AUTO-HANDLE,Routine troubleshooting with sufficient evidence,app_service,AUTO-HANDLE,Routine troubleshooting,
2149907,@115858 fix your crap because you just cost me my essay grade with your stupid I️ glitch 🙄,@631850 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,device_performance,0.739,AUTO-HANDLE,Routine troubleshooting with sufficient evidence,device_performance,AUTO-HANDLE,Routine troubleshooting,
1682482,@AppleSupport iphone se just download the new iOS thinking it would fix battery issues. Phone is slow and battery drains so quickly. ??,@511465 Thanks for reaching out. DM the specific iOS version you are using at this time to get started. https://t.co/GDrqU22YpT,ios_update,0.459,ESCALATE,Low intent confidence,ios_update,AUTO-HANDLE,Routine troubleshooting,
696512,"@AppleSupport I just can,t it says i can,t",@286184 Let's look into that further. Send us a DM and we'll go from there. https://t.co/GDrqU22YpT,app_service,0.619,AUTO-HANDLE,Routine troubleshooting with sufficient evidence,app_service,AUTO-HANDLE,Routine troubleshooting,
2019796,@AppleSupport I changed my Apple ID today and now none of my messages are syncing across devices. Can anyone help?,@597287 We'd love to help. Can you tell us which devices and software versions you're using? Click here to hop in DM with us: https://t.co/GDrqU22YpT,account_access,0.909,ESCALATE,Account-access issue requires human review,account_access,ESCALATE,Billing or account issue requires human review,
1589376,@AppleSupport I️ shouldn’t have to do all that to be able to type an I️. Where’s your manager.,@488731 Reach out to us via DM and we can go over some options. https://t.co/GDrqU22YpT,app_service,0.453,ESCALATE,Low intent confidence,app_service,AUTO-HANDLE,Routine troubleshooting,
123730,I have a loving/hate relationship with my iphone 7. It’s not even 1 year old and the fucking battery sucks. I love iphones but i hate their battery jfc do something @115858,@143666 Thanks for reaching out to us for support. We would love to help you. Please DM us so that we can look into this together. https://t.co/GDrqU22YpT,device_hardware,0.776,AUTO-HANDLE,Routine troubleshooting with sufficient evidence,device_hardware,AUTO-HANDLE,Routine troubleshooting,
1769946,@AppleSupport Using an iPhone 6 Plus. Original mint condition. And iOS 11.1 randomly causes my touchscreen to stop responding. #Frustrated,@532112 That's not what we'd expect at all. We'll do all we can to assist. When did this start happening exactly?,ios_update,0.57,ESCALATE,Low intent confidence,ios_update,AUTO-HANDLE,Routine troubleshooting,
289976,"My battery went from 74% to 41% from doing nothing! In a matter of 12 minutes...
I hate this new update @AppleSupport",@185075 We can help. Try these steps and if you still have issues let us know what device you're using in a DM: https://t.co/bivpdfBNJ6 https://t.co/GDrqU22YpT,ios_update,0.653,AUTO-HANDLE,Routine troubleshooting with sufficient evidence,ios_update,AUTO-HANDLE,Routine troubleshooting,
2263499,"@AppleSupport hi, I have a question are you guys able to help me?",@658943 We will do our best. How can we be of assistance?,app_service,0.541,ESCALATE,Low intent confidence,app_service,AUTO-HANDLE,Routine troubleshooting,
1535739,New update on iPhone 📱 is blocking me from group chats ?????? @115858 guess this will help boost #X sales,"@476188 Let's work on this together. Do you get an error message when trying to reply to a group message? If not, what seems to happen?",ios_update,0.662,AUTO-HANDLE,Routine troubleshooting with sufficient evidence,ios_update,AUTO-HANDLE,Routine troubleshooting,
2300926,So @115858 can come up with smart phones but can’t fix a simple freakin letter 🤦🏻‍♀️🤦🏻‍♀️🙄🙄🙄😒 l would like to stop seeing I️ already .,@595779 We want to help. You can update to the newest version iOS 11.1.1.  You want to make sure to back up your iPhone before updating. This article explains how: https://t.co/4f8hwT5to6,other,0.589,ESCALATE,Low intent confidence,other,AUTO-HANDLE,Routine troubleshooting,
1834677,@AppleSupport LET US REVERT BACK TO PREVIOUS IOS. HARD REBOOTS ETC NOT WORKING. Phone keeps freezing. FIX IT!!!!,@550270 We’re here to address the issues you're experiencing. Let's team up in Direct Message using the link below to continue. https://t.co/GDrqU22YpT,ios_update,0.38,ESCALATE,Low intent confidence,ios_update,AUTO-HANDLE,Routine troubleshooting,
2067575,@115858 can you pls fix my gps.  The voice might be cool and all but if it's gonna shut my phone down then idrc how realistic it is. 🤷‍♀️,@611411 You've come to the right place. Is this happening while you're using a specific app? Let us know in DM. https://t.co/GDrqU22YpT,other,0.555,ESCALATE,Low intent confidence,other,AUTO-HANDLE,Routine troubleshooting,
2356479,Fuckin @115858 glitch. 🤬😡🤯,@680762 We’d like to take this opportunity to see how we can help. Please use the DM link below to share a few details about your issue. https://t.co/GDrqU22YpT,device_performance,0.969,AUTO-HANDLE,Routine troubleshooting with sufficient evidence,device_performance,AUTO-HANDLE,Routine troubleshooting,
2970200,@AppleSupport I get solutions can you offer me to fix this keyboard lag I have?,@819277 Thanks for reaching out to us for support. We would love to help you. Please DM us so that we can look into this together. https://t.co/GDrqU22YpT,device_hardware,0.722,AUTO-HANDLE,Routine troubleshooting with sufficient evidence,device_performance,AUTO-HANDLE,Routine troubleshooting,
2477606,Am I the only one who has to try the “Alt”-boot option several times until I get the boot-option screen on my iMac? @115858? Fixable?,@273863 We'd like to check into what's happening here a bit more. What kind of keyboard are you using with your iMac? Is it wired or wireless?,device_hardware,0.643,AUTO-HANDLE,Routine troubleshooting with sufficient evidence,device_hardware,AUTO-HANDLE,Routine troubleshooting,
36016,@115858 @AppleSupport that's what I get for buying #AppleWatchSeries3. And your support here tells me there is no problem with the watch! https://t.co/z5eW7C4pKv,@123827 We'd like to take a closer look at this with you. Reach out via DM with the details. https://t.co/GDrqU22YpT,app_service,0.534,ESCALATE,Low intent confidence,app_service,AUTO-HANDLE,Routine troubleshooting,
2619888,"What sort of fuckery have you done with this new IOS @AppleSupport , my Bluetooth and Wi-fi keep switching it self on",@740319 Bluetooth and Wi-Fi controls in Control Center work differently in iOS 11. You can read more on that here: https://t.co/G7BHuQnDS6 Let us know in DM if you have other questions. https://t.co/GDrqU22YpT,connectivity,0.901,AUTO-HANDLE,Routine troubleshooting with sufficient evidence,connectivity,AUTO-HANDLE,Routine troubleshooting,
2939036,@AppleSupport over the air :(,@331181 Let's try the suggestions here to see if they help: https://t.co/Ui1yTnOCUz Let us know the results.,app_service,0.653,AUTO-HANDLE,Routine troubleshooting with sufficient evidence,app_service,AUTO-HANDLE,Routine troubleshooting,
1915874,@AppleSupport why does my phone keep changing it to i . t i have never typed that in my life stop it,"@570671 We want to help you. Which version of iOS is installed in Settings &gt; General &gt; About? Let us know in DM to continue, please. https://t.co/GDrqU22YpT",app_service,0.465,ESCALATE,Low intent confidence,device_performance,AUTO-HANDLE,Routine troubleshooting,
1895454,"@AppleSupport IOS 11.0.03 has wrecked my iPhone 8. Haptic home button intermittent, restarts randomly, bottom speaker crackles! Flagship????",@564967 We’re glad you reached out! Let us help with your iPhone. Let us know exactly when you updated to iOS 11.0.3 in DM to proceed. https://t.co/GDrqU22YpT,ios_update,0.621,AUTO-HANDLE,Routine troubleshooting with sufficient evidence,ios_update,AUTO-HANDLE,Routine troubleshooting,
2138902,"@AppleSupport No, I’ve tried it. 😭 sometimes the album art goes missing. And seriously I’m paying for subs, I wish u guys will fix it ASAP.",@629068 We'll be happy to work on this further in DM. Send us your iPhone model and iOS version to continue. https://t.co/GDrqU22YpT,app_service,0.504,ESCALATE,Low intent confidence,app_service,AUTO-HANDLE,Routine troubleshooting,
1212795,"Hey @AppleSupport what's the #HighSierra deal ya'll, Finder Preview shimozzle... #osx https://t.co/mDiSrDD2mc",@404648 Is that happening with all pictures? Let us know in Direct Message and we'll take a look. https://t.co/GDrqU22YpT,app_service,0.722,AUTO-HANDLE,Routine troubleshooting with sufficient evidence,app_service,AUTO-HANDLE,Routine troubleshooting,
1721773,Hey @115858  updated my phone now battery’s absolutely gash!! Wft sort it aht having to charge the fucker at work! It’s an iPhone 7 👊🏻,"@521017 Hey, we can work together on the battery life. DM us the exact iOS version and we'll take a look. https://t.co/GDrqU22YpT",ios_update,0.588,ESCALATE,Low intent confidence,billing_subscription,ESCALATE,Billing or account issue requires human review,
2279800,@115858 you forgot to fix the I.T glitch. Fix I.T. Please. I need I.T to sound smarter.,@662788 Let's look into this together. Send us a DM including the exact iOS version installed. You can locate this under Settings &gt, General &gt, About. https://t.co/GDrqU22YpT,device_performance,0.854,device_performance,AUTO-HANDLE,Routine troubleshooting,
2229462,"@115858 iPhone 
What is up with this “New” update? 
Freezing screen, inoperable apps, delays in 
t y p i n g 
o u t 
M e s s a g e s . 
Technology,great when it works",@650620 Thanks for connecting with us. We'd like to assist you with these issues. Join us in DM here. We'll pick up there. https://t.co/GDrqU22YpT,ios_update,0.537,ESCALATE,Low intent confidence,ios_update,AUTO-HANDLE,Routine troubleshooting,
1000003,@AppleSupport  https://t.co/OnHabGwPo7,@497667 We'd like to help. Does locking your screen and unlocking it help any?,app_service,0.974,AUTO-HANDLE,Routine troubleshooting with sufficient evidence,app_service,AUTO-HANDLE,Routine troubleshooting,
495185,@AppleSupport I sent it,"@233086 Great! We've received your DM, and will continue working there.",app_service,0.798,AUTO-HANDLE,Routine troubleshooting with sufficient evidence,app_service,AUTO-HANDLE,Routine troubleshooting,
90309,@135589 @AppleSupport @115858 Works with Keychain Access... OMG,"@805163 We'd like to work with you to figure out what's happening. DM us with what type of Mac you're using, along with your current macOS version. https://t.co/GDrqU22YpT",app_service,0.455,ESCALATE,Low intent confidence,app_service,AUTO-HANDLE,Routine troubleshooting,
2622700,@AppleSupport the media player is broken on 11.2 beta 3. Requires restart to get it to function properly,"@740952 Hello. Thanks for participating in our Beta program. We welcome your feedback using the Feedback Assistant, as explained here: https://t.co/2qRlboI6mM Please shoot us a DM if you need additional help. https://t.co/GDrqU22YpT",device_hardware,0.534,ESCALATE,Low intent confidence,device_hardware,AUTO-HANDLE,Routine troubleshooting,
1747999,"Can @115858 please fix this “I️ “ thing, i am about to blow my brains out 🙄",@526932 Here’s what you can do to work around the issue until it’s fixed in a future software update: https://t.co/xXaXeeSRt9,other,0.85,AUTO-HANDLE,Routine troubleshooting with sufficient evidence,other,AUTO-HANDLE,Routine troubleshooting,
2422519,"@AppleSupport Thanks, that worked. Oddly enough the purchase history button is now showing up in settings on my iPhone after logging into that site. 🤷🏻‍♂️",@695785 That's great news! Reach out to us here if you ever need assistance.,billing_subscription,0.724,ESCALATE,Billing or subscription issue requires human review,billing_subscription,ESCALATE,Billing or account issue requires human review,
1936065,"@AppleSupport Hello, I just called in for iTunes product support and your agent hung up on me. Can you DM me to sort this out, please? Thx.",@576008 We're sorry to hear you were disconnected from us. Let's resume helping out. Send us a DM to continue to discuss iTunes together. https://t.co/GDrqU22YpT,app_service,0.611,AUTO-HANDLE,Routine troubleshooting with sufficient evidence,app_service,AUTO-HANDLE,Routine troubleshooting,
2476099,"Yo, why tf is “it” still autocorrecting to “I.T” after the update??? Fix yo shit!!!! @116333 @AppleSupport @115858",@468237 Thanks for reaching out. We want to help. Which version of iOS are you using? You can check in Settings &gt, General &gt, About. We'll go from there.,ios_update,0.622,ios_update,AUTO-HANDLE,Routine troubleshooting,
154463,@AppleSupport just upgraded to latest iPhone software / phone locks up several times per day - sometimes requires reboot - not good,"@151399 We'd like to help get your iPhone running smoothly. Does your iPhone appear to become unresponsive when using a certain app or doing a certain function (like swiping to another screen, so on)?",ios_update,0.4,ESCALATE,Low intent confidence,ios_update,AUTO-HANDLE,Routine troubleshooting,
2280256,When are y’all gonna fix this dumb ass “I️” shit??? I’m getting sick and tired @AppleSupport,"@396700 iOS 11.1.1 was recently released and it includes a fix for autocorrect issues. Be sure to back up your device prior to updating, and let us know if the issue persists afterwards. How to back up: https://t.co/4f8hwT5to6 https://t.co/GDrqU22YpT",app_service,0.437,ESCALATE,Low intent confidence,app_service,AUTO-HANDLE,Routine troubleshooting,
2942118,@AppleSupport hey guys my apple music just had a stroke and all my music is gone even though i pay for it still i'm very mad and confused and angry please HELP,"@812859 Your music is important to you, and we'll do all we can to help. To get started, may we know what device and OS you're using Apple Music with?",app_service,0.574,ESCALATE,Low intent confidence,app_service,AUTO-HANDLE,Routine troubleshooting,
2080743,Bloody iCloud how is this supposed to be easy #help @AppleSupport,@615313 We'd like to help. DM us details on the issues you're having with iCloud and we'll work with you towards a resolution there. https://t.co/GDrqU22YpT,account_access,0.897,ESCALATE,Account-access issue requires human review,account_access,ESCALATE,Billing or account issue requires human review,
1675390,"@509717 @AppleSupport ME TOO I️ WANT TO THROW MY PHONE ACROSS THE ROOM. Try to turn your auto correct off, that’s seemed to help me!!",@509716 We want to help your keyboard respond correctly.  Please check out this article: https://t.co/xXaXeeSRt9,app_service,0.4,ESCALATE,Low intent confidence,app_service,AUTO-HANDLE,Routine troubleshooting,
1706173,@AppleSupport i️t didn’t work 😐,"@517102 We want to do everything we can to help you out. Send us a DM, and we'll go from there. https://t.co/GDrqU22YpT",app_service,0.782,AUTO-HANDLE,Routine troubleshooting with sufficient evidence,app_service,AUTO-HANDLE,Routine troubleshooting,
